matches_won,country_id,winner_id
1,BOL,220850
1,BOL,222461
1,BOL,105479
1,BOL,123965
1,BOL,220244
195,BRA,106329
176,BRA,206430
147,BRA,206242
136,BRA,206194
135,BRA,104297
124,BRA,106105
114,BRA,206007
113,BRA,213753
102,BRA,205848
98,BRA,105064
87,BRA,105154
82,BRA,110778
77,BRA,205591
77,BRA,106203
67,BRA,211594
64,BRA,205734
62,BRA,205933
60,BRA,106252
55,BRA,202694
48,BRA,200335
47,BRA,126197
35,BRA,215721
34,BRA,104007
31,BRA,104738
30,BRA,213604
25,BRA,105571
21,BRA,121264
20,BRA,105180
18,BRA,105262
16,BRA,106211
15,BRA,110774
14,BRA,214322
13,BRA,106264
13,BRA,207799
12,BRA,213755
12,BRA,220604
11,BRA,104903
10,BRA,206011
10,BRA,122425
9,BRA,105245
9,BRA,105700
8,BRA,206009
8,BRA,203510
7,BRA,104836
7,BRA,105068
6,BRA,105998
6,BRA,220578
6,BRA,105674
5,BRA,105269
5,BRA,104550
5,BRA,211848
5,BRA,205609
4,BRA,221932
4,BRA,215835
4,BRA,109307
4,BRA,106095
4,BRA,127108
4,BRA,220317
3,BRA,213850
3,BRA,223284
3,BRA,105861
2,BRA,126715
2,BRA,211293
2,BRA,105754
2,BRA,215629
2,BRA,105996
2,BRA,105381
2,BRA,215854
2,BRA,210749
2,BRA,222721
2,BRA,105530
2,BRA,206431
2,BRA,105979
1,BRA,200495
1,BRA,216574
1,BRA,127132
1,BRA,105880
1,BRA,214140
1,BRA,206896
1,BRA,127115
1,BRA,214157
1,BRA,105868
1,BRA,220833
1,BRA,206901
1,BRA,202183
1,BRA,239390
1,BRA,206814
1,BRA,202181
1,BRA,138467
1,BRA,144704
1,BRA,106339
1,BRA,215836
1,BRA,206307
1,BRA,220366
1,BRA,200522
1,BRA,220350
1,BRA,122534
1,BRA,122081
1,BRA,104574
1,BRA,126546
200,BUL,202688
172,BUL,202600
150,BUL,206336
141,BUL,202467
128,BUL,201691
120,BUL,105777
101,BUL,202695
92,BUL,211456
90,BUL,106220
83,BUL,202691
83,BUL,214006
69,BUL,215566
40,BUL,201450
37,BUL,211931
21,BUL,220757
17,BUL,105586
15,BUL,221315
15,BUL,215442
12,BUL,202090
10,BUL,211841
9,BUL,200247
7,BUL,220759
6,BUL,144678
6,BUL,214050
5,BUL,220692
5,BUL,223319
4,BUL,221366
4,BUL,218289
4,BUL,213618
3,BUL,222084
1,BUL,203393
1,BUL,211927
1,BUL,211929
1,BUL,222706
1,BUL,211932
1,BUL,221364
1,BUL,215445
1,BUL,214049
1,BUL,216298
1,BUL,216267
1,BUL,216295
1,BUL,215895
1,BUL,220691
1,BUL,215568
160,CAN,200000
158,CAN,133430
154,CAN,105166
144,CAN,105577
124,CAN,105731
117,CAN,111790
115,CAN,105683
115,CAN,215370
90,CAN,214684
90,CAN,211796
86,CAN,203475
79,CAN,202446
73,CAN,106290
72,CAN,201606
49,CAN,104433
47,CAN,220367
45,CAN,213796
34,CAN,201486
31,CAN,202681
30,CAN,200008
27,CAN,214577
24,CAN,221165
19,CAN,203562
15,CAN,221988
14,CAN,214570
13,CAN,214697
13,CAN,105229
11,CAN,106061
11,CAN,106285
10,CAN,216023
9,CAN,216357
9,CAN,200009
8,CAN,211242
8,CAN,214583
8,CAN,215545
8,CAN,221223
6,CAN,213804
6,CAN,214726
6,CAN,220502
6,CAN,220016
5,CAN,222377
5,CAN,208119
5,CAN,214456
5,CAN,207993
5,CAN,201589
4,CAN,223182
4,CAN,221185
3,CAN,200234
3,CAN,213885
3,CAN,200368
3,CAN,215280
3,CAN,214727
3,CAN,205843
3,CAN,207220
3,CAN,127066
3,CAN,211519
2,CAN,221381
2,CAN,200233
2,CAN,219922
2,CAN,215281
2,CAN,105560
2,CAN,106399
2,CAN,222233
2,CAN,222289
2,CAN,203561
2,CAN,221147
1,CAN,200367
1,CAN,127050
1,CAN,200010
1,CAN,239475
1,CAN,214561
1,CAN,220281
1,CAN,122247
1,CAN,223203
1,CAN,127064
1,CAN,215404
1,CAN,214582
1,CAN,222987
1,CAN,208073
1,CAN,221130
1,CAN,200574
1,CAN,220428
1,CAN,122252
1,CAN,215846
1,CAN,221480
1,CAN,222332
1,CAN,200028
1,CAN,202295
198,CHI,206344
166,CHI,106426
161,CHI,211903
161,CHI,111797
135,CHI,206037
106,CHI,144642
71,CHI,126214
60,CHI,210993
55,CHI,106174
21,CHI,105070
20,CHI,109334
14,CHI,219625
13,CHI,211908
13,CHI,105635
11,CHI,202393
8,CHI,106059
6,CHI,220684
5,CHI,105288
3,CHI,122257
2,CHI,105293
2,CHI,215740
2,CHI,105780
1,CHI,127309
1,CHI,122427
1,CHI,215990
1,CHI,215741
1,CHI,210994
1,CHI,105968
1,CHI,105820
1,CHI,206785
1,CHI,145021
155,CHN,202684
145,CHN,201533
135,CHN,212034
135,CHN,203288
132,CHN,202492
130,CHN,202453
124,CHN,203578
110,CHN,201580
107,CHN,203576
105,CHN,206374
98,CHN,104810
95,CHN,201397
92,CHN,105585
88,CHN,214646
87,CHN,105842
82,CHN,201582
78,CHN,211719
77,CHN,216133
74,CHN,206294
73,CHN,202919
72,CHN,202508
69,CHN,216016
69,CHN,111190
69,CHN,215250
67,CHN,214328
67,CHN,214386
65,CHN,202504
63,CHN,214608
58,CHN,221012
55,CHN,215946
47,CHN,206283
47,CHN,213558
46,CHN,105339
46,CHN,214724
45,CHN,213947
45,CHN,213821
44,CHN,215812
41,CHN,214972
39,CHN,216162
38,CHN,216062
